Module	Notes	Sun 5.6.1	Built	Build Notes
ANSIScreen		1.2	Y	
Archive::Tar		0.22	Y	
Archive::Zip		0.10	Y	zip and unzip not found - some tests failed
Array::IntSpan		1.01	Y	
Array::PrintCols		2.1	Y	
Array::RefElem		0.02	Y	
Astro		0.5	Y	
Astro::MoonPhase		0.10	Y	
Astro::SunTime	Requires Timemodules	0.01	Y	
Astro::Sunrise		0.04	Y	
Carp::Assert		0.013	Y	
Chemistry::Elements		0.9	Y	
Class::Fields		0.11	Y	
Compress::Zlib	requires gnu zlib 1.1.3	1.11	Y	
Convert::Units		0.43	Y	
Convert::SciEng		0.90	Y	
Data::DumpXML		1.01	Y	
Data::ShowTable		3.3	Y	
Data::Walker		1.04	Y	
Date::Calc		4.3	Y	
Date::Manip		5.39	Y	
DBI		1.14	Y	
Devel::Dprof		19990108	Y	
Devel::SmallProf		0.9	Y	
Devel::PreProcessor	dev only	1999-022	Y	
Devel::ptkdb		1.1074	Y	
Digest::MD5		2.13	Y	
Error		0.13	Y	
Fraction		53b	Y	
FreezeThaw		0.41	Y	
File::PathConvert		0.85	Y	
File::Spec		0.82	Y	
Finance::Quote		1.05	Y	
Games::WordGuess		0.20	Y	
Games::Worms		0.61	Y	
Geography::Countries		1.2	Y	
GD		1.32	Y	
GDGraph		1.33	Y	
GDGraph3d		0.55	Y	
GDTextUtil		0.80	Y	
GDBarcode		1.13	Y	
Graph		0.201	Y	
Heap		0.50	Y	
HTML::Mason		0.896	Y	
HTML::Parser	Requires HTML::Tagset	3.19	Y	
HTML::TableExtract		1.06	Y	
HTML::Template		2.2	Y	
HTML::Tagset		3.03	Y	
HTML::Tree		3.11	Y	
IO::Stringy		1.220	Y	
IPC::Locker		1.14	Y	
IPC::ShareLite		0.08	Y	
IPC::Shareable		0.60	Y	
libnet	Contains Net::FTP etc.	1.0703	Y	
libwww-perl		5.51	Y	
libxml-perl	Contains smaller XML packages	0.07	Y	
Lingua::EN::AddressParse		0.03	Y	
Lingua::EN::MatchNames		1.1	Y	
Lingua::EN::NameCase		1.11	Y	
Lingua::EN::NameParse		1.11	Y	
Lingua::EN::NickName		1.1	Y	
Lingua::EN::Squeeze		1998.1204	Y	
Lingua::EN::Syllable		0.251	Y	
Lingua::EN::Numbers::Ordinate		0.01	Y	
Log::Agent	needed for Storable	0.2.6	Y	
Locale::SubCountry 		1.08	Y	
Mail::Bulkmail		2.05	Y	
Mail::Sendmail		0.78	Y	
MailTools		1.15	Y	
MD5		1.7	Y	
MIME::Base64		2.12	Y	
MIME-tools		5.41	Y	
MLDBM	"build after Data::Dumper, FreezeThaw and Storable"	2.00	Y	Tests Fail
Net::Daemon		0.34	Y	
Number::Format		1.42	Y	
